-90 Degrees	-90 Grad	-90 degrés	-90 gradi
90 Degrees	90 Grad	90 degrés	90 gradi
Ambient	Umgebungslicht	Lumière ambiante	Luce ambientale
Asset properties	Dateieigenschaften	Propriétés du fichier	Proprietà del file
Available Files	Verfügbare Dateien	Fichiers disponibles	File disponibili
Background Color	Hintergrundfarbe	Couleur de fond	Colore di sfondo
Background Image	Hintergrundbild	Image de fond	Immagine di sfondo
Bump Map	Bump-Map	Carte de relief	Mappa di rilievo
Calculate...	Berechnen …	Calculer…	Calcola…
Cancel	Abbrechen	Annuler	Annulla
Centimeter	Zentimeter	Centimètre	Centimetro
Check an example file:	Beispieldatei öffnen	Ouvrir un exemple	Apri un esempio
Close	Schließen	Fermer	Chiudi
Collapse all	Alle einklappen	Tout réduire	Comprimi tutto
Color	Farbe	Couleur	Colore
Copied	Kopiert	Copié	Copiato
Copy	Kopieren	Copier	Copia
Create	Erstellen	Créer	Crea
Create Snapshot	Ansicht als Bild speichern	Enregistrer la vue en image	Salva la vista come immagine
Create snapshot	Ansicht als Bild speichern	Enregistrer la vue en image	Salva la vista come immagine
Custom	Benutzerdefiniert	Personnalisé	Personalizzato
Dark mode	Dunkle Ansicht	Mode sombre	Modalità scura
Default	Standard	Par défaut	Predefinito
Default Color	Standardfarbe	Couleur par défaut	Colore predefinito
Default Line Color	Standard-Linienfarbe	Couleur des lignes par défaut	Colore predefinito delle linee
Details	Details	Détails	Dettagli
Diffuse Map	Diffuse-Map	Texture diffuse	Mappa diffusa
Document user texts	Benutzertexte im Dokument	Textes utilisateur du document	Testi utente del documento
Download	Herunterladen	Télécharger	Scarica
Drag and drop 3D models here.	3D-Dateien hier ablegen	Dépose tes fichiers 3D ici	Trascina qui i tuoi file 3D
Edge Angle Threshold	Winkelschwelle für Kanten	Seuil angulaire des arêtes	Soglia angolare degli spigoli
Edge Color	Kantenfarbe	Couleur des arêtes	Colore degli spigoli
Embedding Code	Einbettungscode	Code d’intégration	Codice di incorporamento
Embedding Online 3D Viewer in an iframe is not supported.	Einbetten in ein iframe wird nicht unterstützt.	L’intégration dans un iframe n’est pas prise en charge.	L’incorporamento in un iframe non è supportato.
Emissive Map	Emissions-Map	Texture émissive	Mappa emissiva
Entire Model	Gesamtes Modell	Modèle entier	Intero modello
Environment	Umgebung	Environnement	Ambiente
Expand all	Alle aufklappen	Tout développer	Espandi tutto
Export	Exportieren	Exporter	Esporta
Export Failed	Export fehlgeschlagen	Échec de l’export	Esportazione non riuscita
Exporting Model	Modell wird exportiert	Export du modèle	Esportazione del modello
Failed to import model.	Modell konnte nicht importiert werden.	Impossible d’importer le modèle.	Impossibile importare il modello.
Failed to load draco decoder.	Draco-Decoder konnte nicht geladen werden.	Impossible de charger le décodeur Draco.	Impossibile caricare il decoder Draco.
Failed to load file for import.	Datei konnte nicht geladen werden.	Impossible de charger le fichier à importer.	Impossibile caricare il file da importare.
Failed to load occt-import-js.	CAD-Importmodul konnte nicht geladen werden.	Impossible de charger le module d’import CAO.	Impossibile caricare il modulo di importazione CAD.
Failed to load rhino3dm.	Rhino-Importmodul konnte nicht geladen werden.	Impossible de charger le module d’import Rhino.	Impossibile caricare il modulo di importazione Rhino.
Failed to load web-ifc.	IFC-Importmodul konnte nicht geladen werden.	Impossible de charger le module d’import IFC.	Impossibile caricare il modulo di importazione IFC.
Failed to parse bim file.	BIM-Datei konnte nicht gelesen werden.	Impossible de lire le fichier BIM.	Impossibile leggere il file BIM.
Failed to read Rhino file.	Rhino-Datei konnte nicht gelesen werden.	Impossible de lire le fichier Rhino.	Impossibile leggere il file Rhino.
False	Nein	Non	No
Files	Dateien	Fichiers	File
Fit mesh to window	Mesh einpassen	Ajuster le maillage à la vue	Adatta la mesh alla vista
Fit meshes to window	Meshes einpassen	Ajuster les maillages à la vue	Adatta le mesh alla vista
Fit model to window	Modell einpassen	Ajuster le modèle à la vue	Adatta il modello alla vista
Fixed up vector	Drehen mit fester Hochachse	Rotation avec axe vertical fixe	Rotazione con asse verticale fisso
Flat list	Flache Liste	Liste simple	Elenco semplice
Flip up vector	Hochachse umkehren	Inverser l’axe vertical	Inverti l’asse verticale
Foot	Fuß	Pied	Piede
Free orbit	Frei drehen	Rotation libre	Rotazione libera
Guid	GUID	GUID	GUID
Height	Höhe	Hauteur	Altezza
Here you can load models based on their urls. You can add more lines if your model builds up from multiple files.	Öffne Modelle über ihre Datei-URLs. Bei mehreren zusammengehörigen Dateien gib jede URL in einer eigenen Zeile an.	Ouvre des modèles à partir de leurs URL. Si le modèle comporte plusieurs fichiers, indique une URL par ligne.	Apri modelli dai loro URL. Se il modello comprende più file, inserisci un URL per riga.
Hide mesh	Mesh ausblenden	Masquer le maillage	Nascondi la mesh
Import Settings	Importeinstellungen	Réglages d’import	Impostazioni di importazione
Importing Model	Modell wird importiert	Import du modèle	Importazione del modello
Importing model...	Modell wird importiert …	Import du modèle…	Importazione del modello…
Inch	Zoll	Pouce	Pollice
Info	Informationen	Informations	Informazioni
Invalid glTF file.	Ungültige glTF-Datei.	Fichier glTF non valide.	File glTF non valido.
Invalid glTF version.	Ungültige glTF-Version.	Version glTF non valide.	Versione glTF non valida.
Invalid header information.	Ungültiger Dateikopf.	En-tête de fichier non valide.	Intestazione del file non valida.
Invalid normal index.	Ungültiger Normalenindex.	Indice de normale non valide.	Indice della normale non valido.
Invalid uv index.	Ungültiger UV-Index.	Indice UV non valide.	Indice UV non valido.
Invalid vertex color index.	Ungültiger Index der Punktfarbe.	Indice de couleur de sommet non valide.	Indice del colore del vertice non valido.
Invalid vertex index.	Ungültiger Punktindex.	Indice de sommet non valide.	Indice del vertice non valido.
Isolate mesh	Nur dieses Mesh anzeigen	Isoler le maillage	Isola la mesh
Large (2560x1440)	Groß (2560 × 1440)	Grande (2560 × 1440)	Grande (2560 × 1440)
Light mode	Helle Ansicht	Mode clair	Modalità chiara
Lines	Linien	Lignes	Linee
Loading Model	Modell wird geladen	Chargement du modèle	Caricamento del modello
Loading model...	Modell wird geladen …	Chargement du modèle…	Caricamento del modello…
Material	Material	Matériau	Materiale
Materials	Materialien	Matériaux	Materiali
Materials ({0})	Materialien ({0})	Matériaux ({0})	Materiali ({0})
Measure	Messen	Mesurer	Misura
Medium (1920x1080)	Mittel (1920 × 1080)	Moyenne (1920 × 1080)	Media (1920 × 1080)
Mesh	Mesh	Maillage	Mesh
Mesh properties	Mesh-Eigenschaften	Propriétés du maillage	Proprietà della mesh
Mesh {0}	Mesh {0}	Maillage {0}	Mesh {0}
Meshes	Meshes	Maillages	Mesh
Meshes ({0})	Meshes ({0})	Maillages ({0})	Mesh ({0})
Metallic Map	Metallizitäts-Map	Texture de métallicité	Mappa metallica
Metalness	Metallizität	Métallicité	Metallicità
Meter	Meter	Mètre	Metro
Millimeter	Millimeter	Millimètre	Millimetro
Missing Files	Fehlende Dateien	Fichiers manquants	File mancanti
Model	Modell	Modèle	Modello
Model Display	Modelldarstellung	Affichage du modèle	Visualizzazione del modello
Multiple importable models found. Select the model you would like to import from the list below.	Mehrere Modelle gefunden. Wähle das gewünschte Modell aus der Liste.	Plusieurs modèles ont été trouvés. Choisis celui que tu veux importer dans la liste.	Sono stati trovati più modelli. Scegli dall’elenco quello da importare.
No Document.xml found.	Document.xml nicht gefunden.	Fichier Document.xml introuvable.	File Document.xml non trovato.
No Name	Ohne Namen	Sans nom	Senza nome
No Rotation	Keine Drehung	Sans rotation	Nessuna rotazione
No importable file found.	Keine unterstützte Datei gefunden.	Aucun fichier compatible trouvé.	Nessun file compatibile trovato.
No importable object found.	Kein importierbares Objekt gefunden.	Aucun objet importable trouvé.	Nessun oggetto importabile trovato.
Node properties	Knoteneigenschaften	Propriétés du nœud	Proprietà del nodo
Normal Map	Normal-Map	Texture de normales	Mappa delle normali
OK	OK	OK	OK
One of the requested buffers is missing.	Ein benötigter Datenpuffer fehlt.	Un tampon de données nécessaire est manquant.	Manca un buffer di dati necessario.
Opacity	Deckkraft	Opacité	Opacità
Open Online 3D Viewer	3D-Viewer öffnen	Ouvrir la visionneuse 3D	Apri il visualizzatore 3D
Open from url	Über URL öffnen	Ouvrir depuis une URL	Apri da URL
Open from your device	Dateien öffnen	Ouvrir des fichiers	Apri file
Orthographic camera	Orthografische Kamera	Caméra orthographique	Camera ortografica
Perspective camera	Perspektivische Kamera	Caméra perspective	Camera prospettica
Phong	Phong	Phong	Phong
Physical	Physikalisches Material	Matériau physique	Materiale fisico
Please wait...	Bitte warten …	Patiente un instant…	Attendi…
Properties	Eigenschaften	Propriétés	Proprietà
Remove isolation	Isolierung aufheben	Quitter l’isolation	Disattiva l’isolamento
Rotation	Drehung	Rotation	Rotazione
Roughness	Rauheit	Rugosité	Rugosità
Scene properties	Szeneneigenschaften	Propriétés de la scène	Proprietà della scena
Scope	Umfang	Portée	Ambito
Select Model	Modell auswählen	Choisir un modèle	Scegli un modello
Select a point.	Wähle einen Punkt.	Choisis un point.	Scegli un punto.
Select another point.	Wähle einen weiteren Punkt.	Choisis un autre point.	Scegli un altro punto.
Select the format from the list below, and adjust the settings of the selected format.	Wähle das Format und passe die zugehörigen Einstellungen an.	Choisis le format et adapte ses réglages.	Scegli il formato e modifica le relative impostazioni.
Set Y axis as up vector	Y-Achse nach oben	Définir Y comme axe vertical	Imposta Y come asse verticale
Set Z axis as up vector	Z-Achse nach oben	Définir Z comme axe vertical	Imposta Z come asse verticale
Settings	Einstellungen	Réglages	Impostazioni
Share	Teilen	Partager	Condividi
Sharing Failed	Teilen fehlgeschlagen	Échec du partage	Condivisione non riuscita
Sharing Link	Teilen-Link	Lien de partage	Link di condivisione
